level, start, end
mario-1-1, image-00000015.png, image-00000120.png
mario-1-2, image-00000158.png, image-00000259.png
mario-1-3, image-00000307.png, image-00000373.png
mario-2-1, image-00000480.png, image-00000606.png
mario-3-1, image-00000973.png, image-00001126.png
mario-3-2, image-00001154.png, image-00001223.png
mario-3-3, image-00001251.png, image-00001313.png
mario-4-1, image-00001416.png, image-00001512.png
mario-4-2, image-00001558.png, image-00001682.png
mario-4-3, image-00001726.png, image-00001787.png
mario-5-1, image-00001894.png, image-00001953.png
mario-5-2, image-00001981.png, image-00002066.png
mario-5-3, image-00002096.png, image-00002185.png
mario-6-1, image-00002294.png, image-00002377.png
mario-6-2, image-00002412.png, image-00002510.png
mario-6-3, image-00002541.png, image-00002604.png
mario-7-1, image-00002720.png, image-00002804.png
mario-8-1, image-00003177.png, image-00003284.png
mario-8-2, image-00003310.png, image-00003391.png
mario-8-3, image-00003421.png, image-00003485.png
